UniProtID,mean_Case,mean_Control,log2foldchange,p_value,t_value,,,,
Q15075,15.36205131,15.22793617,0.134115143,0.390848724,0.872906699,,,,
P45974,8.988679035,8.645980879,0.342698156,0.392083336,0.864505927,,,,
P35268,10.48196918,10.29104749,0.190921691,0.393050663,0.864572264,,,,
P78371,15.35180368,15.41534894,-0.063545269,0.394748713,-0.855475868,,,,
Q13201,16.52027424,16.37532093,0.144953308,0.396308865,0.857238147,,,,
P18206,18.65385089,18.53948022,0.114370663,0.397162912,0.851481309,,,,
P33908,10.8856847,10.94965311,-0.063968404,0.401025291,-0.843735132,,,,
P16401,15.70037444,15.35284594,0.347528501,0.401414809,0.848014643,,,,
P68366,12.71411481,12.59557321,0.118541599,0.403130945,0.841293126,,,,
P30740,13.24537228,12.97182414,0.273548143,0.404689068,0.844840829,,,,
P35527,11.01418738,10.72532217,0.288865203,0.404826459,0.837900773,,,,
P05154,11.483581,11.84197865,-0.358397651,0.40587325,-0.84228234,,,,
Q06830,14.25398193,14.40935448,-0.155372558,0.406991191,-0.843731355,,,,
P14780,7.892400659,7.742083971,0.150316689,0.409174153,0.830730093,,,,
P35573,9.165054411,8.922654972,0.242399439,0.41025261,0.827094239,,,,
O14791,13.65514455,13.59589417,0.059250379,0.410449182,0.826329435,,,,
P69905,15.65660493,15.80337244,-0.146767508,0.412177857,-0.823103673,,,,
P49913,10.18205348,9.695259284,0.4867942,0.415456453,0.822533338,,,,
P11021,16.02350946,16.13035806,-0.106848602,0.415579283,-0.820072421,,,,
Q9HDC9,10.5411147,10.72477451,-0.183659811,0.415927874,-0.81707902,,,,
Q15848,10.21040337,10.36959057,-0.159187201,0.416536788,-0.817701404,,,,
P05543,15.44944051,15.50377776,-0.054337254,0.417460134,-0.814049856,,,,
Q6IBS0,14.76602205,14.87036694,-0.104344894,0.418507294,-0.817864201,,,,
P08107,12.83859423,12.57505385,0.263540385,0.420600266,0.816189582,,,,
P36952,15.69024438,15.78263382,-0.092389446,0.422293592,-0.810176646,,,,
P31040,12.60277808,12.4138941,0.188883986,0.423318542,0.811344038,,,,
O75369,16.28135972,16.38583148,-0.104471767,0.424339441,-0.802404375,,,,
Q15942,15.47112055,15.3916318,0.079488745,0.425485022,0.80127339,,,,
